epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7391,1.0623,1.42315,8.05125,0.83508,0.06228,0.61682,0.05469,0.02845,0.06091,0.62617,0.05322,0.02592,0.67702,1.12211,103.289,0.61083,0.000663743,0.000663743,0.000663743
2,41.1183,1.19076,1.70268,6.91586,0.89157,0.42192,0.42991,0.39198,0.20752,0.42192,0.42991,0.39216,0.1974,0.72596,1.15301,9.10651,0.59184,0.00131724,0.00131724,0.00131724
3,59.3023,1.19258,1.30965,5.29356,0.9396,0.6246,0.55979,0.61899,0.31318,0.65742,0.5514,0.65405,0.34162,0.72802,0.96854,4.03629,0.65678,0.00195753,0.00195753,0.00195753
4,77.3162,1.31756,1.37272,3.91999,0.99378,0.58391,0.63551,0.56035,0.24018,0.59495,0.64486,0.57667,0.28367,0.78297,1.00597,3.19833,0.6758,0.0019406,0.0019406,0.0019406
5,95.6508,1.22516,1.32602,2.9647,0.99124,0.52414,0.59813,0.60525,0.35331,0.52414,0.59813,0.60702,0.37567,0.73695,0.87573,3.81631,0.68018,0.0019208,0.0019208,0.0019208
6,113.785,1.15209,1.1219,2.23097,0.94339,0.70924,0.38318,0.53768,0.30429,0.51848,0.53271,0.54998,0.33664,0.70779,0.92276,0.82784,0.63709,0.001901,0.001901,0.001901
7,131.774,1.14068,1.18844,1.87513,0.94582,0.77578,0.58207,0.66943,0.36754,0.77578,0.58207,0.68537,0.40297,0.71051,0.87616,0.70952,0.65127,0.0018812,0.0018812,0.0018812
8,149.633,1.14856,1.23954,1.56231,0.93184,0.63765,0.69159,0.68844,0.38325,0.63644,0.69159,0.70019,0.42557,0.69138,0.81099,0.7017,0.65084,0.0018614,0.0018614,0.0018614
9,167.396,1.0966,1.082,1.48033,0.90893,0.5689,0.65367,0.66629,0.36069,0.56519,0.75701,0.67164,0.39452,0.72554,0.81689,0.82358,0.66789,0.0018416,0.0018416,0.0018416
10,185.414,1.11235,1.09423,1.3696,0.93315,0.81965,0.59469,0.741,0.41259,0.77847,0.6729,0.76735,0.44568,0.6126,0.76273,0.63053,0.58852,0.0018218,0.0018218,0.0018218
11,203.244,1.09393,1.08178,1.26028,0.87955,0.70123,0.6729,0.72737,0.42266,0.70414,0.6729,0.72792,0.44297,0.60119,0.81269,0.58908,0.59658,0.001802,0.001802,0.001802
12,221.321,1.13217,1.14321,1.27885,0.94494,0.74561,0.64486,0.74122,0.43139,0.70224,0.68328,0.75273,0.45789,0.65566,0.7814,0.5973,0.62699,0.0017822,0.0017822,0.0017822
13,239.214,1.00498,1.07431,1.16403,0.87976,0.78173,0.60252,0.69504,0.43601,0.78173,0.60252,0.68885,0.44531,0.65091,0.8263,0.83356,0.63319,0.0017624,0.0017624,0.0017624
14,257.294,1.08995,1.05128,1.23373,0.9601,0.65885,0.61682,0.69561,0.42269,0.65885,0.61682,0.69578,0.45551,0.63737,0.78424,0.60357,0.61785,0.0017426,0.0017426,0.0017426
15,275.267,0.99875,1.00552,1.07995,0.87872,0.59642,0.62617,0.6561,0.42438,0.62205,0.64486,0.66753,0.42102,0.60312,0.80387,0.62066,0.57871,0.0017228,0.0017228,0.0017228
16,293.117,0.99288,1.10725,1.07174,0.85697,0.75095,0.59181,0.73845,0.47408,0.7519,0.60748,0.74344,0.46703,0.59789,0.85197,0.57528,0.57909,0.001703,0.001703,0.001703
